Blueprint	Name	Description	Grouping	Category	Family	Classification	Heavy	Two Handed	Min Damage	Max Damage	Armor Pen	Dodge Reduction	Extra Hit Chance	Rate of Fire	Recoil	Max Range	Ammo	Attack 1	Type	Cost	GFX	On Hit	Attack 2	Type	Cost	GFX	On Hit	Attack 3	Type	Cost	GFX	On Hit	Attack 4	Type	Cost	GFX	On Hit	Attack 5	Type	Cost	GFX	On Hit	Sources	Extra Facts
HuntingRifle_Item	Hunting Rifle	{g|Encyclopedia:DeadeyeShot}Deadeye shots{/g} fired by this rifle deal additional {g|Encyclopedia:DamageGlossary}damage{/g} to larger enemies:\n-<indent=5%>Hulking creatures (2×2 cells) suffer +5 damage.</indent>\n-<indent=5%>Enormous creatures (3×3 cells) suffer +10 damage.</indent>\n-<indent=5%>Massive creatures (4×4 cells) suffer +15 damage.</indent>	Rifle	Basic	Solid	false	false	true	20	26	15	0	40	0	0	22	3	SingleShot_Ability	SingleShot	1	BigSniperRifle_AbilityFXSettings		PreciseShot_Ability	SingleShot	2	BigSniperRifle_AbilityFXSettings		ReloadAbility	Reload	3	PlasmaRifle_SingleShot_AbilityFXSettings			None					None				Unit - Ch02_AgriWorldJungle: JungleWorldRebelHunter, Unit - Ch02_Lair3: Lair3RebelSniper, Unit - Ch02_Lair4_TheLure: Lair4EndlessCombat, Unit - ExportedPregens: 4y6_Sniper_27lvl_ExportedPregen_ExportedPregen, Unit - ExportedPregens: Gusev_RT_26lvl_ExportedPregen	HuntingRifle_Feature	SniperRifle_CritDamage_Feature	SolidProjectileWeapon_Feature
HuntingSharpshooterRifle_Item	Sharpshooter Rifle	{g|Encyclopedia:DeadeyeShot}Deadeye shots{/g} fired by this rifle deal additional {g|Encyclopedia:DamageGlossary}damage{/g} to larger enemies:\n-<indent=5%>Hulking creatures (2×2 cells) suffer +5 damage.</indent>\n-<indent=5%>Enormous creatures (3×3 cells) suffer +10 damage.</indent>\n-<indent=5%>Massive creatures (4×4 cells) suffer +15 damage.</indent>	Rifle	Basic	Solid	false	false	true	24	36	20	0	40	0	0	22	3	SingleShot_Ability	SingleShot	1	BigSniperRifle_AbilityFXSettings		PreciseShot_Ability	SingleShot	2	BigSniperRifle_AbilityFXSettings		ReloadAbility	Reload	3	PlasmaRifle_SingleShot_AbilityFXSettings			None					None				Unit - CassiaCompanion: CassiaCompanion_Ch04_TrueStart, Unit - ExportedPregens: PlayerRT_Level38_ArbitratorOfficer_ExportedPregen, Unit - ExportedPregens: PlayerRT_Level38_OfficerOverseer_ExportedPregen, Unit - ExportedPregens: PlayerRT_Level38_OperativeOverseer_ExportedPregen, Unit - YrlietCompanion: YrlietCompanion_Ch03_TrueStart, Chest - CR0: ReavingTempestSpire_GoodLoot03	HuntingRifle_Feature	SniperRifle_CritDamage_Feature	SolidProjectileWeapon_Feature
ImperialInfantrymansEntrenchingTool_Item		This weapon deals +2 additional {g|Encyclopedia:DamageGlossary}damage{/g} for each enemy adjacent to the wielder. Enemies {g|Encyclopedia:HitSequenceGlossary}hit{/g} by this weapon cannot make {g|Encyclopedia:AttackOfOpportunityFullGlossary}attacks of opportunity{/g} for 1 {g|Encyclopedia:Round}round{/g}.	Other	Melee	Primitive	false	false	false	9	12	25	0	0	0	0	1	-1	MeleeAttack_ability	SingleShot	1	Showel_AbilityFXSettings		OneHandedAxe_AoEAbility	AOE	2	Showel_AbilityFXSettings			None					None					None				Chest - TaintedStreets: ImperiumMilitary_DarkTideShovel	ImperialInfantrymansEntrenchingTool_Feature
ImperialPride_Bolter_Item	Imperial Pride	{g|Encyclopedia:DamageGlossary}Damage{/g} against xenos, psykers, and servants of Chaos is increased by +4.	Bolter	Basic	Bolt	false	false	true	11	17	15	0	0	4	25	24	16	ImperialPrideBolter_SingleShot_Ability	SingleShot	1	Bolter_BoltShot_AbilityFXSettings		BurstFire_Ability	Burst	2	Bolter_BoltShot_AbilityFXSettings		ReloadAbility	Reload	3	Bolter_BoltShot_AbilityFXSettings			None					None				Unit - Ch05_Epitaph: ArgentaAlternative, Unit - Ch05_Epitaph: Ch05Inquisitor_Argenta_unit, Unit - ArgentaCompanion: ArgentaCompanion_Ch02_TrueMid, Unit - ArgentaCompanion: ArgentaCompanion_Ch03_TrueStart, Unit - ExportedPregens: ArgentaCompanion_Level25_MikandraParty_ExportedPregen, Unit - ExportedPregens: ArgentaCompanion_Level25_TesseraParty_ExportedPregen, Chest - CR22: AdeptusMechanicus_OperativeCorpse	ImperialPride_Bolter_Feature
ImperialStaff_Item	Imperial Staff	The wielder of this staff (power level 8) gains the <b>Emperor's Wrath</b> {g|Encyclopedia:Ability}ability{/g}. The ability is also available in its {g|Encyclopedia:HeroicAct}heroic act{/g} and {g|Encyclopedia:DesperateMeasure}desperate measure{/g} versions. Power level affects the {g|Encyclopedia:DamageGlossary}damage{/g} of this power.\n<indent=5%>+10 {g|Encyclopedia:WarhammerWillpower}Willpower{/g}</indent>\n<indent=5%>+5 {g|Encyclopedia:WarhammerFellowship}Fellowship{/g}</indent>	PsykerStaff	Melee	Primitive	false	false	true	4	8	0	0	0	0	0	1	-1	MacesMeleeAttack_Ability	SingleShot	1	Axe_AbilityFXSettings		Sanctic_Weapon_EmperorsWrath_Ability	Custom	2			Sanctic_Weapon_EmperorsWrath_AbilityHeroic	Custom	2			Sanctic_Weapon_EmperorsWrath_AbilityDesperate	Custom	2				None				Unit - DLC1_Ch02_AstropathicChapel: IdiraPsyker_Imperium_AstropathicChapelCH2, Chest - CR25: ImperiumRich_CorpseUnderWall	Willpower10_Feature	Fellowship5_Feature
IndustrialHammer_Item	Industrial Hammer		Hammer	Melee	Power	MaulOrHammer	false	true	10	18	40	0	0	0	0	1	-1	HammersMeleeAttack_Ability	SingleShot	1	ThunderHammer_AbilityFXSettings		ThunderHammer_AoE_Ability	AOE	2	ThunderHammer_AoE_AbilityFXSettings		Hammer_PushAbility	SingleShot	2	ThunderHammer_AbilityFXSettings	Hammer_PushAbilityAdditionalEffect		None					None				Vendor - PirateChapter2_VendorTable_Base 20PF	
InfernoPistolCH05Unique_Item	Virtuous Vindication	On {g|Encyclopedia:HitSequenceGlossary}hit{/g}, targets must perform a {g|Encyclopedia:WarhammerToughness}Toughness{/g} {g|Encyclopedia:ResistanceTest}resistance test{/g} with a +10 {g|Encyclopedia:Bonus}bonus{/g}.\nIf they fail, they suffer {g|Encyclopedia:BurningEffect}burning{/g} (24) and {g|Encyclopedia:MeltingEffect}melting{/g}. Additionally, they are {g|Encyclopedia:Stun}stunned{/g} for 1 {g|Encyclopedia:Turn}turn{/g}.\nIf they pass, they suffer burning (8) and melting.	Melta	Pistol	Melta	false	false	false	35	50	80	0	0	0	0	8	3	SingleShot_PistolAbility	SingleShot	1	Melta_Shot_AbilityFXSettings		InfernoPistolAoEAbility	AOE	1	Melta_Shot_AbilityFXSettings		ReloadAbility	Reload	2	Melta_Shot_AbilityFXSettings			None					None				Unit - HeinrixCompanion: HeinrixCompanion_Ch05_Finale, Chest - CR0: ImperiumMilitary_GoodLoot_Bag	Coercion10_Feature	InfernoPistolCH05Unique_Feature
InfernoPistolT2CH04_Item	[Mezoa-Pattern] Inferno Pistol		Melta	Pistol	Melta	false	false	false	30	40	60	0	0	0	0	9	6	SingleShot_PistolAbility	SingleShot	1	Melta_Shot_AbilityFXSettings		InfernoPistolAoEAbility	AOE	1	Melta_Shot_AbilityFXSettings		ReloadAbility	Reload	2	Melta_Shot_AbilityFXSettings			None					None				Unit - Ch04_Canteena: Chorda_JudgementOfFootfall, Unit - Ch05_Epitaph: Ch05Inquisitor_Leader_unit, Unit - ExportedPregens: PlayerMercenary_Level42_OlegParty_ExportedPregen, Unit - FinalCompanions: Chorda_Companion, Unit - FinalCompanions: Hope_Chorda_Companion	
InfernoPistol_Item	Inferno Pistol		Melta	Pistol	Melta	false	false	false	10	17	50	0	0	0	0	8	3	SingleShot_PistolAbility	SingleShot	1	Melta_Shot_AbilityFXSettings		InfernoPistolAoEAbility	AOE	1	Melta_Shot_AbilityFXSettings		ReloadAbility	Reload	2	Melta_Shot_AbilityFXSettings			None					None				Unit - Ch02_AgriWorldTown: MutantAristocrate, Unit - Ch02_ForgeWorldAndHeart: HeinrixCompanionCopy, Unit - ExportedPregens: HeinrixCompanion_Level29_ExportedPregen, Unit - HeinrixCompanion: HeinrixCompanion, Unit - HeinrixCompanion: HeinrixCompanionNPC, Unit - HeinrixCompanion: HeinrixCompanion_Ch02_TrueMid, Unit - HeinrixCompanion: HeinrixCompanion_Ch02_TrueStart, Unit - HeinrixCompanion: HeinrixCompanion_Ch03_TrueStart, Unit - HeinrixCompanion: HeinrixCompanion_Gamescom, Chest - EE_DestroyedBlackShip: Loot_Uniq_Locked  - InquisitionArsenal	
JaeQuest_AeldariRiflePlaceholder_Item	Wanderer's Portent	This rifle can only perform {g|Encyclopedia:DeadeyeShot}deadeye shot{/g} attacks. Whenever the wielder scores a critical {g|Encyclopedia:HitSequenceGlossary}hit{/g} with a {g|Encyclopedia:SingleRangedAttacksGlossary}single-shot{/g} attack, they gain an additional attack this {g|Encyclopedia:Turn}turn{/g}.	Rifle	Basic	Laser	false	false	true	20	25	20	30	20	1	0	36	10	AeldariScoutLongRifle_PreciseShot_Ability	SingleShot	2	LongrifleEnergyBolt_Shot_AbilityFXSettings		ReloadAbility	Reload	3				None					None					None				Unit - ExportedPregens: 4y6_Yrliet_22lvl_ExportedPregen, Unit - ExportedPregens: 4y6_Yrliet_27lvl_ExportedPregen_ExportedPregen, Unit - ExportedPregens: 4y6_Yrliet_41lvl_ExportedPregen_ExportedPregen, Chest - Test: TestRaritiesLoot	LaserCoverReduce_Feature	JaeQuest_AeldariRiflePlaceholder_Feature
JaeQuest_DrukhariKlaivePlaceholder_Item	Bloodseeker Klaive	This klaive's {g|Encyclopedia:AreaOfEffect}area attack{/g} has an increased area of effect.	PowerSword	Melee	Power	Sword	false	false	17	25	35	0	0	0	15	1	-1	SwordsMeleeAttack_Ability	SingleShot	1	Sword_AbilityFXSettings		JaeQuestKlaive_AoEAbility	AOE	2	Sword_AbilityFXSettings			None					None					None				Unit - ExportedPregens: HeinrixCompanion_Level25_TesseraParty_ExportedPregen	Parry10_Feature
JudexHeavyFlamer_Item	Judex	If a target hit by this flamer's attack is suffering from burning at the end of its turn, that target explodes, inflicting burning of the same level on all enemies in a 3-cell radius. That target must pass a Willpower resistance test with a −15 penalty or fall unconscious for 1 round.	Flame	Heavy	Flame	false	true	true	40	44	10	0	0	0	0	10	3	HeavyFlamer_LinearTemplate_Ability	AOE	2	Flamer10_Line_AbilityFXSettings	FlamersBurning_AdditionalEffect	HeavyFlamer_WideTemplate_Ability	AOE	3	Flamer10_Wide_AbilityFXSettings	FlamersBurning_AdditionalEffect	ReloadAbility	Reload	3				None					None				Unit - ExportedPregens: UlfarCompanion_Level47_ExportedPregen, Vendor - DrusianChapter4_VendorTable_Base 95PF	JudexHeavyFlamer_Feature	Burning_Power12_ForWeapon_Feature
KnifeT1_Item	Knife		Dagger	Melee	Primitive	false	false	false	10	12	15	50	0	0	0	1	-1	SwordsMeleeAttack_Ability	SingleShot	1	Knife_AbilityFXSettings			None					None					None					None				Unit - Ch04_FootfallSewersCh04: FootfallSewers_Bandit_Melee, Unit - DLC1_LowerTunnels: LT_Fighter, Unit - DLC1_LowerTunnels: LT_Fighter_Chaos	
Knife_Item	Knife		Dagger	Melee	Primitive	false	false	false	6	8	10	50	0	0	0	1	-1	SwordsMeleeAttack_Ability	SingleShot	1	Knife_AbilityFXSettings			None					None					None					None				Unit - Ch01_JailPlanetoid: JailPlanetoidPirates, Unit - Ch01_JailPlanetoid: JailPlanetoidPrisonerSwarm, Unit - Ch01_Starport: StarportRebelMeleeKnife, Unit - Ch01_Starport: StarportRebelMeleeSwarm, Unit - Ch01_TaintedStreets: TaintedStreetsCultistMelee, Unit - Ch02_AdministratumPalace: AdministratumMenas, Unit - Ch02_AdministratumPalace: AdministratumQueueMemberM1, Unit - Ch02_AdministratumPalace: AdministratumQueueMemberM2, Unit - Ch02_AdministratumPalace: AdministratumQueueMemberM3, Unit - Ch02_AgriWorldTown: MutatedNobleMelee, Unit - Ch02_FootFallAtrium: Footfall_AngryCommonerMelee, Unit - Ch02_FootFallAtrium: Footfall_Hobo, Unit - Ch02_FootFallAtrium: Footfall_HoboDiogen, Unit - Ch02_FootFallAtrium: Footfall_HoboFemale, Unit - Ch02_FootfallDock: Footfall_Refugee, Unit - Ch02_FootfallDock: Footfall_RefugeeForgeWorld, Unit - Ch02_FootfallDock: Footfall_RefugeeForgeWorld_Dialog, Unit - Ch02_FootfallDock: Mumbling madmen (3), Unit - Ch02_Lair2: UnderhiveMelee, Unit - Ch02_LowerDecks: RabbleMelee, Unit - Ch02_LowerDecks: WorkerCorridor, Unit - Ch02_LowerDecks: WorkerSector, Unit - Ch02_RandomEncounters: PossessedRabbleMelee02RandomEncounter, Unit - Ch02_RandomEncounters: PossessedRabbleMeleeRandomEncounter, Unit - Ch02_RogueTraderPalace: NobleInPalace_Knife, Unit - Ch02_SantielsPrideUnderhive: Survivor, Unit - Ch02_SantielsPrideUnderhive: SurvivorScout, Unit - Ch02_SantielsPrideUnderhive: ThrallMeleeSwarm, Unit - Ch02_SantielsPrideUnderhive: WildCannibalMeleeSwarm, Unit - Ch02_SantielsPrideUnderhive: WildCannibalRangeTwitching, Unit - Ch02_SantielsPrideUnderhive: WildCannibalTrapper, Unit - Ch02_SpaceScavengers: Scavenger, Unit - Ch02_VoidshipBridge: WorkerHope_KTC, Unit - Ch03_CommorraghArena: ArenaGladiator2, Unit - Ch03_CommorraghStreets: CommorraghStreets_Victim, Unit - Ch03_Prison: RoaringMale_GladiatorMelee, Unit - Ch03_Prison: RoaringMale_GladiatorMelee2, Unit - Ch03_Prison: Tramp, Unit - Ch03_Prison: TrampMain, Unit - Ch04_SalisPrine_ItsTime: JailPlanetoidPrisonerSwarm1, Unit - DLC1_Ch02_AstropathicChapel: ChapelAcolyteMelee_AstropathicChapelCH2, Unit - DLC1_LowerTunnels: LT_DeathCultist, Unit - DLC1_LowerTunnels: LT_DeathCultist_Accident_End, Unit - DLC1_LowerTunnels: LT_DeathCultist_Female, Unit - DLC1_LowerTunnels: RebelMutantMeleeCH02_Swarm, Unit - DLC1_LowerTunnels: ThiefBrute_Melee_LowerTunnels, Unit - DLC1_LowerTunnels: ThiefBrute_Melee_LowerTunnels, Unit - DLC2_AdministratumPalace: VP_Marshal, Unit - DLC2_AdministratumPalace: VP_Marshal_noHelmet, Unit - DLC2_AdministratumPalace: VP_Prefect, Unit - Ch02_DaringHeirGuttedShip: ShipServicemanMutantAcid_Ranged_Common, Unit - Ch02_ForgeWorldSpaceHulk: ShipServicemanMutant, Unit - Ch02_ForgeWorldSpaceHulk: ShipServicemanMutant_ForCoronation, Unit - Ch02_RandomEncounters: NurgleAmbushZombie_RandomEncounter, Unit - Ch02_RandomEncounters: RE_DemonTransform_Grunt, Unit - Ch02_RandomEncounters: RE_DemonTransform_Gunner, Unit - Ch02_RandomEncounters: RE_DemonTransform_NurgleBuboe, Unit - Ch02_AgriWorldTown: AgriWorldGovernorCompanion, Unit - Ch02_AgriWorldTown: AgriWorldGovernorCompanion_Carapace, Unit - Ch02_SantielsPrideUnderhive: Meduse, Unit - Ch03_CommorraghArena: CommorraghCommissar, Unit - DLC1_DeathCultTemple: Captive1, Unit - Ch04: Footfall_Resistance, Unit - Units: BoardedShip_Pirate_Melee_Swarm_Unit, Unit - AbelardCompanion: AbelardCompanion_Gamescom, Chest - CR0: ImperiumMilitary_PrologueAP_Patent_Chest02, Chest - CR0: ImperiumMilitary_PrologueAP_Patent_Chest04, Chest - EE_DestroyedBlackShip: Loot_Quest - PariahDiary (Ok), Chest - EE_DestroyedBlackShip: Loot_Trash_CorpseFrozenV1, Chest - JailPlanetoid: Loot_Poor_Hidden_Stim, Chest - Quetza-al_Khet: Loot_Quest_Totem_Artefact, Chest - CR0: ForgeWorld_TestLoot1	
LasPistolT1CH04_Item	Laspistol	<i>Laser weapons are effective against targets in {g|Encyclopedia:DetailsOfTheCoverGlossary}cover{/g} and targets with high {g|Encyclopedia:DodgeGlossary}dodge{/g}.</i>	Pistol	Pistol	Laser	false	false	false	14	20	20	30	0	4	10	10	20	BurstFire_PistolAbility	Burst	2	LasPistol_LasShot_AbilityFXSettings		ReloadAbility	Reload	1				None					None					None				Chest - CR0: Forest_HideenLoot1	LaserCoverReduce_Feature
LasPistol_Item	Laspistol	<i>Laser weapons are effective against targets in {g|Encyclopedia:DetailsOfTheCoverGlossary}cover{/g} and targets with high {g|Encyclopedia:DodgeGlossary}dodge{/g}.</i>	Pistol	Pistol	Laser	false	false	false	6	8	5	30	0	2	10	10	20	BurstFire_PistolAbility	Burst	2	LasPistol_LasShot_AbilityFXSettings		ReloadAbility	Reload	1	LasPistol_LasShot_AbilityFXSettings			None					None					None				Unit - Ch00_OfficersDeck: OfficerDeckEnforcerOfficer, Unit - Ch00_OfficersDeck: OfficerDeckNavyCrewMember1, Unit - Ch00_OfficersDeck: OfficerDeckNavyCrewMember2, Unit - Ch00_OfficersDeck: OfficerDeckNavyPriestOfficer, Unit - Ch00_OfficersDeck: OfficersDeckCultistPirate_Shooter, Unit - Ch00_OfficersDeck: OfficersDeck_NavyCrewMember_wrongForm, Unit - Ch01_NavisNobiliteStation: NavisNobilite_Commander, Unit - Ch01_NavisNobiliteStation: NavisNobilite_Medic_CassiaRoom, Unit - Ch01_NavisNobiliteStation: NavisNobilite_Medic_Stage1, Unit - Ch01_NavisNobiliteStation: NavisNobilite_MeleeRanged_MutantCommander, Unit - Ch01_NavisNobiliteStation: NavisNobilite_MutantCommander, Unit - Ch01_Starport: StarportRebelLaspistol, Unit - Ch01_Starport: StarportRebelLeaderSpecialist, Unit - Ch01_Starport: StarportRebelNoMoveLaspistol, Unit - Ch01_Starport: StarportRebelSpecialist, Unit - Ch02_AgriWorldTown: GovernorSecurityMeister, Unit - Ch02_AgriWorldTown: ServantWithWeaponLas, Unit - Ch02_FootfallDock: HieronimusGuard, Unit - Ch02_VoidshipBridge: BridgeCrewMemberBloodGuard, Unit - Ch02_VoidshipBridge: BridgeCrewMemberGuard, Unit - Ch02_VoidshipBridge: BridgeCrewMemberGuard_Chaos, Unit - Ch02_VoidshipBridge: BridgeCrewMemberGuard_Medic, Unit - Ch02_VoidshipBridge: BridgeCrewMemberNavy, Unit - Ch02_VoidshipBridge: BridgeCrewMemberNavy2, Unit - Ch02_VoidshipBridge: BridgeCrewMemberNavyFemale, Unit - Ch02_VoidshipBridge: RE_BridgeUnique_Crew, Unit - Ch03_CommorraghArena: HumanGladiator_Ranged_Arena_02, Unit - Ch04_FootfallAtrium: FootfallCrewMemberGuard, Unit - Ch_00_VoidshipOfficerDeck_AfterPorlogue: DeathCultist_GuardWBanner, Unit - Ch_00_VoidshipOfficerDeck_AfterPorlogue: DeathCultist_Guard_Female, Unit - Ch_00_VoidshipOfficerDeck_AfterPorlogue: DeathCultist_Prisoner, Unit - Ch_00_VoidshipOfficerDeck_AfterPorlogue: DeathCultist_Prisoner_Female, Unit - Ch_00_VoidshipOfficerDeck_AfterPorlogue: DeathCultist_Prisoner_Male, Unit - DLC1_LowerTunnels: LT_AngryEnforcer_Unique, Unit - DLC1_LowerTunnels: LT_Chaos_Preacher_Unique, Unit - DLC1_LowerTunnels: LT_Clerk, Unit - DLC1_LowerTunnels: LT_EnforcerChief_Unique, Unit - DLC1_LowerTunnels: LT_EnforcerGuard, Unit - DLC1_LowerTunnels: LT_EnforcerMed, Unit - DLC1_LowerTunnels: LT_EnforcerOficer, Unit - DLC1_LowerTunnels: LT_ImpatientEnforcer, Unit - DLC1_LowerTunnels: LT_Intendant, Unit - DLC1_LowerTunnels: LT_Operator, Unit - DLC1_LowerTunnels: LT_Preacher, Unit - DLC1_LowerTunnels: LT_SickEnforcer, Unit - DLC1_LowerTunnels: LT_Toliman, Unit - DLC1_LowerTunnels: LT_Tolimans, Unit - DLC2_FeudalWorld: FW_CrewMemberGuard, Unit - DLC2_FeudalWorld: FW_Preacher, Unit - DLC2_OfficerDeck: OfficerDeck_WoundedCrewMember, Unit - Ch02_RandomEncounters: MutantPyromancerRandomEncounter, Unit - Ch01_JailPlanetoid: JailPlanetoid_Pilot, Unit - Ch01_StarPort: StarPortPilot, Unit - Ch01_StarPort: StarPortSergeant, Unit - Ch01_StarPort: StarPortsignalman, Unit - Ch01_TaintedStreets: TaintedStreetsRebel, Unit - Ch01_TaintedStreets: YoungGuard, Unit - Ch01_TaintedStreets: YoungGuard_impostor, Unit - Ch02_LowerDecks: RabbleLeaderOld, Unit - Ch02_LowerDecks: RabbleLeaderWeak, Unit - Ch03_Abduction_Yrliet: OfficerInTerror, Unit - Ch03_CommorraghArena: CommorraghCommissar, Unit - Ch03_CommorraghArena: CommorraghCommissarWithPistol, Unit - Ch04_Canteena: Vladaym_Final, Unit - DLC1_DeathCultTemple: Initiation_Enforcers, Unit - DLC1_OfficerDeckPeacefull: EnforcerDetective1, Unit - DLC1_OfficerDeckPeacefull: EnforcerDetective2, Unit - DLC1_OfficerDeckPeacefull: EnforcerDetective3, Unit - DLC1_OfficerDeckPeacefull: KindEnforcer, Unit - DLC1_OfficerDeckPeacefull: YetAnotherEnforcer, Unit - DLC1_VoidshipBridge: OfficersDeckGuard_KibellahQ2KTC, Unit - OurShipCrew: OurCrewGuard, Unit - DLC1_LowerTunnels_StreetFight: LT_SF_NPC_CutSc_ClerkwithWeapon, Unit - FootfallAtrium: FootfallAlmostDeadChordaAgent, Unit - Opticon22: Footfall_HighEnginseerTrader_Opticon-22, Unit - CassiaCompanion: CassiaCompanion, Unit - CassiaCompanion: CassiaCompanion_Ch02_TrueStart, Unit - ExportedPregens: IdiraCompanion_Level7_EtelParty_ExportedPregen, Unit - ExportedPregens: PlayerRT_Level7_EtelParty_ExportedPregen, Chest - CR0: ImperiumMilitary_PrologueAP_Patent_Chest01, Chest - CR0: ImperiumMilitary_PrologueAP_Patent_Chest03, Chest - CR33: ImperiumMilitary_PrisonPitTrashWeapon, Chest - EE_DestroyedBlackShip: Loot_Poor - BlackShipArmoury, Chest - LastStand_Lair1: Loot_Poor_AmmoBox_Loot (1) - 100, Chest - LastStand_Lair1: Loot_Poor_AmmoBox_Loot (2) - 100, Chest - TheLure_Lair4: Loot_Poor_SolderCorpse_MainChest - 50, Chest - CR26: Forest_generic_locker_02 (1)_loot_object	
LasblasterCH4Unique_Item	Suin Kaelean	When this weapon {g|Encyclopedia:HitSequenceGlossary}hits{/g}, the target must pass a {g|Encyclopedia:WarhammerToughness}Toughness{/g} {g|Encyclopedia:Test}Test{/g} with a −35 {g|Encyclopedia:Penalty}penalty{/g} or become {g|Encyclopedia:BlindedEffect}blinded{/g} for 1 {g|Encyclopedia:Round}round{/g}.	Rifle	Basic	Laser	false	false	true	28	42	15	30	25	1	0	36	10	SingleShot_Ability	SingleShot	1	Lasgun_LasShot_AbilityFXSettings		PreciseShot_Ability	Custom	2	Lasgun_LasShot_AbilityFXSettings		ReloadAbility	Reload	4	Lasgun_LasShot_AbilityFXSettings			None					None				Chest - Quetza-al_Khet: Loot_Good_Outpost_TableEldarLoot	LaserCoverReduce_Feature	LasblasterCH4Unique_Feature	SniperRifle_CritDamage_Feature
Lasblaster_Item	Lasblaster	<i>Laser weapons are effective against targets in {g|Encyclopedia:DetailsOfTheCoverGlossary}cover{/g} and targets with high {g|Encyclopedia:DodgeGlossary}dodge{/g}.</i>	Rifle	Basic	Laser	false	false	true	23	34	20	30	25	1	0	36	10	SingleShot_Ability	SingleShot	1	Lasgun_LasShot_AbilityFXSettings		PreciseShot_Ability	Custom	2	Lasgun_LasShot_AbilityFXSettings		ReloadAbility	Reload	4	Lasgun_LasShot_AbilityFXSettings			None					None				Unit - YrlietCompanion: YrlietCompanion_Ch04_TrueStart, Chest - CR33: Drukhari_AngerChest	LaserCoverReduce_Feature	SniperRifle_CritDamage_Feature
LasgunScrappy_Item	Scrappy Lasgun	<i>Laser weapons are effective against targets in {g|Encyclopedia:DetailsOfTheCoverGlossary}cover{/g} and targets with high {g|Encyclopedia:DodgeGlossary}dodge{/g}.</i>	Lasgun	Basic	Laser	false	false	true	4	6	5	30	0	4	10	20	40	SingleShot_Ability	SingleShot	1	Lasgun_LasShot_AbilityFXSettings		BurstFire_Ability	Burst	2	Lasgun_LasShot_AbilityFXSettings		ReloadAbility	Reload	3	Lasgun_LasShot_AbilityFXSettings			None					None				Unit - Ch01_Starport: StarportRebelRangeNoMoveSwarm, Unit - Ch01_Starport: StarportRebelRangeSwarm, Chest - CR15: AdeptusMechanicus_BSW_Lasgun2_level	
LasgunT1CH02_Item	Lasgun	<i>Laser weapons are effective against targets in {g|Encyclopedia:DetailsOfTheCoverGlossary}cover{/g} and targets with high {g|Encyclopedia:DodgeGlossary}dodge{/g}.</i>	Lasgun	Basic	Laser	false	false	true	6	8	0	30	0	4	10	20	40	SingleShot_Ability	SingleShot	1	Lasgun_LasShot_AbilityFXSettings		BurstFire_Ability	Burst	2	Lasgun_LasShot_AbilityFXSettings		ReloadAbility	Reload	3				None					None				Unit - Ch02_VoidshipOfficersDeck: GenestealerRanger_Ranged_PatriarchVisions_Swarm, Unit - Ch01_ArcheotechReactor: Cultist_ArcheotechReactor_Range, Unit - Ch01_JailPlanetoid: JailPlanetoidEnforcerPistol, Unit - Ch01_NavisNobiliteStation: NavisNobiliteLasgun_Guard, Unit - Ch02_DestroyedBlackShip: PossessedTechnomat, Unit - Ch02_FootFallAtrium: FootfallPirate, Unit - Ch02_FootfallDock: FootfallAnverBodyguard_Ranged_Hard, Unit - Ch02_FootfallDock: FootfallAnverBodyguard_Ranged_Swarm, Unit - Ch02_FootfallDock: FootfallBanditRingleader, Unit - DLC2_FeudalWorld: FW_CorruptedNoble_Ranged_Swarm, Unit - Ch04: Footfall_ChordaGuard	LaserCoverReduce_Feature
LasgunT1Tutorial_Item	Well-Maintained Lasgun	<i>Laser weapons are effective against targets in {g|Encyclopedia:DetailsOfTheCoverGlossary}cover{/g} and targets with high {g|Encyclopedia:DodgeGlossary}dodge{/g}.</i>	Lasgun	Basic	Laser	false	false	true	6	8	5	30	0	4	15	20	40	SingleShot_Ability	SingleShot	1	Lasgun_LasShot_AbilityFXSettings		BurstFire_Ability	Burst	2	Lasgun_LasShot_AbilityFXSettings		ReloadAbility	Reload	3	Lasgun_LasShot_AbilityFXSettings			None					None				Chest - VoidshipOfficersDeck: ImperiumMilitary_PrologueOD_CorridorChestSolder	
LasgunT2CH2_Item	Lasgun	<i>Laser weapons are effective against targets in {g|Encyclopedia:DetailsOfTheCoverGlossary}cover{/g} and targets with high {g|Encyclopedia:DodgeGlossary}dodge{/g}.</i>	Lasgun	Basic	Laser	false	false	true	10	14	10	30	0	4	10	20	40	SingleShot_Ability	SingleShot	1	Lasgun_LasShot_AbilityFXSettings		BurstFire_Ability	Burst	2	Lasgun_LasShot_AbilityFXSettings		ReloadAbility	Reload	3	Lasgun_LasShot_AbilityFXSettings			None					None				Unit - Ch02_VoidshipOfficersDeck: GenestealerRanger_Ranged_PatriarchVisions_Common, Unit - Ch02_ForgeWorldAndHeart: CorruptedTechnomat_Ranged, Unit - Ch02_VoidshipTemple: TheAlly_MeleeRanged_VoidshipTempleAmbush, Unit - Ch03_Prison: ImperialSoldierFemale_Ranged_Prison	
